Date;Waterlevel
01.01.1941;1462.143
01.02.1941;1462.16
01.03.1941;1462.21
01.04.1941;1462.322
01.05.1941;1462.472
01.06.1941;1462.543
01.07.1941;1462.442
01.08.1941;1462.257
01.09.1941;1462.192
01.10.1941;1462.2
01.11.1941;1462.293
01.12.1941;1462.445
01.01.1942;1462.435
01.02.1942;1462.338
01.03.1942;1462.382
01.04.1942;1462.498
01.05.1942;1462.645
01.06.1942;1462.628
01.07.1942;1462.42
01.08.1942;1462.355
01.09.1942;1462.297
01.10.1942;1462.218
01.11.1942;1462.238
01.12.1942;1462.325
01.01.1943;1462.428
01.02.1943;1462.485
01.03.1943;1462.44
01.04.1943;1462.358
01.05.1943;1462.427
01.06.1943;1462.495
01.07.1943;1462.41
01.08.1943;1462.273
01.09.1943;1462.272
01.10.1943;1462.302
01.11.1943;1462.285
01.12.1943;1462.288
01.01.1944;1462.282
01.02.1944;1462.338
01.03.1944;1462.382
01.04.1944;1462.235
01.05.1944;1462.258
01.06.1944;1462.19
01.07.1944;1462.145
01.08.1944;1461.958
01.09.1944;1461.975
01.10.1944;1461.977
01.11.1944;1462.035
01.12.1944;1462.112
01.01.1945;1462.092
01.02.1945;1462.128
01.03.1945;1462.145
01.04.1945;1462.155
01.05.1945;1462.215
01.06.1945;1462.362
01.07.1945;1462.34
01.08.1945;1462.245
01.09.1945;1462.235
01.10.1945;1462.232
01.11.1945;1462.24
01.12.1945;1462.31
01.01.1946;1462.297
01.02.1946;1462.3
01.03.1946;1462.293
01.04.1946;1462.433
01.05.1946;1462.488
01.06.1946;1462.567
01.07.1946;1462.438
01.08.1946;1462.335
01.09.1946;1462.29
01.10.1946;1462.277
01.11.1946;1462.312
01.12.1946;1462.358
01.01.1947;1462.378
01.02.1947;1462.423
01.03.1947;1462.465
01.04.1947;1462.587
01.05.1947;1462.753
01.06.1947;1462.775
01.07.1947;1462.688
01.08.1947;1462.61
01.09.1947;1462.517
01.10.1947;1462.505
01.11.1947;1462.493
01.12.1947;1462.532
01.01.1948;1462.493
01.02.1948;1462.51
01.03.1948;1462.508
01.04.1948;1462.512
01.05.1948;1462.587
01.06.1948;1462.58
01.07.1948;1462.505
01.08.1948;1462.405
01.09.1948;1462.365
01.10.1948;1462.37
01.11.1948;1462.392
01.12.1948;1462.36
01.01.1949;1462.328
01.02.1949;1462.342
01.03.1949;1462.303
