Campaign_number:;Profile_count:;Profile:;date:;Latitude_S_(digital):;Longitude_E_(digital):;Distance_to_GEF_(m):;Rope_length_(m):;Max_depth_(m):;TOB_name_in_Database:;Purpose_of_sampling:;pH_Calibration_(7):;pH_Calibration_(9):;pH_Calibration_(4):
1;1;1;81002;-1.73063;29.24313;160;60;60.89;0810021.TOB;Near Plant Monitoring/KP1/2008;7.2;8.97;4.18
1;2;2;81002;-1.73003;29.24332;230;400;336.68;0810022.TOB;Near Plant Monitoring/KP1/2008;7.2;8.97;4.18
1;3;3;81002;-1.7292;29.24324;328;400;307.96;0810023.TOB;Near Plant Monitoring/KP1/2008;7.2;8.97;4.18
1;4;5;81002;-1.72697;29.2427;557;400;295.48;0810025.TOB;Near Plant Monitoring/KP1/2008;7.2;8.97;4.18
2;5;2;81009;-1.734583;29.242792;268.6;80;79.58;0810092.TOB;Near Plant Monitoring/KP1/2008;7.2;8.97;4.18
2;6;3;81009;-1.732267;29.24295;0;380;360.09;0810093.TOB;Near Plant Monitoring/KP1/2008;7.2;8.97;4.18
2;7;5;81009;-1.71755;29.243675;290.8;380;348.67;0810095.TOB;Near Plant Monitoring/KP1/2008;7.2;8.97;4.18
2;8;8;81009;-1.73695;29.24234;504.5;360;351.19;0810098.TOB;Near Plant Monitoring/KP1/2008;7.2;8.97;4.18
2;9;9;81009;-1.737083;29.243767;555.4;80;70.84;0810099.TOB;Near Plant Monitoring/KP1/2008;7.2;8.97;4.18
3;10;5;81016;-1.731308333;29.24315;72;300;298.2;081016_5.TOB;Near Plant Monitoring/KP1/2008;7.09;8.85;4.08
3;11;7;81016;-1.732225;29.2422;71;360;360.66;081016_7.TOB;Near Plant Monitoring/KP1/2008;7.09;8.85;4.08
3;12;8;81016;-1.732741667;29.24258333;0;300;298.2;081016_8.TOB;Near Plant Monitoring/KP1/2008;7.09;8.85;4.08
4;13;4;81024;-1.73267;29.24268;58;360;360.12;SA241437_4.TOB;Near Plant Monitoring/KP1/2008;7.2;8.97;4.18
4;14;5;81024;-1.7328;29.24282;70;80;80.09;SA241437_5.TOB;Near Plant Monitoring/KP1/2008;7.2;8.97;4.18
4;15;6;81024;-1.73261;29.24274;50;119;118.917;SA241437_6.TOB;Near Plant Monitoring/KP1/2008;7.2;8.97;4.18
4;16;6;81024;-1.73414;29.24261;225;196;196.399;SA241437_6.TOB;Near Plant Monitoring/KP1/2008;7.2;8.97;4.18
4;17;6;81024;-1.73318;29.24278;105;194;193.97;SA241437_6.TOB;Near Plant Monitoring/KP1/2008;7.2;8.97;4.18
4;18;8;81024;-1.7364;29.24213;251;212;212.296;SA241437_8.TOB;Near Plant Monitoring/KP1/2008;7.2;8.97;4.18
4;19;8;81024;-1.73302;29.24283;107;136;136.332;SA241437_8.TOB;Near Plant Monitoring/KP1/2008;7.2;8.97;4.18
4;20;8;81024;-1.73218;29.24291;0;140;140.103;SA241437_8.TOB;Near Plant Monitoring/KP1/2008;7.2;8.97;4.18
5;21;5;81030;-1.73245;29.243475;85;259.86;259.86;SA301548_5.TOB;Near Plant Monitoring/KP1/2008;7.2;8.97;4.18
