ind;press;temp
0;0.060355932;25.449
1;0.167355932;25.468
2;0.282355932;25.476
3;0.344355932;25.479
4;0.397355932;25.481
5;0.415355932;25.479
6;0.353355932;25.478
7;0.308355932;25.476
8;0.264355932;25.477
9;0.211355932;25.478
10;0.238355932;25.479
11;0.300355932;25.481
12;0.433355932;25.482
13;0.592355932;25.482
14;0.849355932;25.485
15;1.044355932;25.484
16;1.159355932;25.482
17;1.310355932;25.48
18;1.451355932;25.479
19;1.655355932;25.481
20;1.806355932;25.477
21;1.868355932;25.475
22;1.850355932;25.475
23;1.894355932;25.478
24;1.974355932;25.477
25;2.089355932;25.474
26;2.142355932;25.474
27;2.178355932;25.472
28;2.275355932;25.474
29;2.320355932;25.465
30;2.328355932;25.465
31;2.337355932;25.467
32;2.417355932;25.466
33;2.488355932;25.465
34;2.497355932;25.462
35;2.532355932;25.463
36;2.603355932;25.465
37;2.709355932;25.464
38;2.763355932;25.465
39;2.842355932;25.464
40;2.940355932;25.462
41;3.037355932;25.464
42;3.090355932;25.463
43;3.090355932;25.46
44;3.073355932;25.46
45;3.073355932;25.46
46;3.064355932;25.462
47;3.090355932;25.459
48;3.108355932;25.459
49;3.099355932;25.456
50;3.090355932;25.455
51;3.082355932;25.458
52;3.073355932;25.458
53;3.135355932;25.458
54;3.152355932;25.459
55;3.215355932;25.452
56;3.285355932;25.453
57;3.312355932;25.452
58;3.321355932;25.449
59;3.312355932;25.446
60;3.312355932;25.448
61;3.303355932;25.449
62;3.330355932;25.45
63;3.356355932;25.455
64;3.409355932;25.458
65;3.480355932;25.454
66;3.542355932;25.455
67;3.578355932;25.455
68;3.631355932;25.455
69;3.649355932;25.455
70;3.613355932;25.453
71;3.569355932;25.455
72;3.534355932;25.454
73;3.542355932;25.452
74;3.542355932;25.452
75;3.596355932;25.455
76;3.666355932;25.455
77;3.773355932;25.457
78;3.870355932;25.458
79;3.959355932;25.456
80;4.039355932;25.457
81;4.109355932;25.455
82;4.118355932;25.454
83;4.074355932;25.453
84;4.047355932;25.452
85;4.021355932;25.454
86;4.047355932;25.455
87;4.101355932;25.454
88;4.136355932;25.453
89;4.180355932;25.455
90;4.225355932;25.453
91;4.251355932;25.452
92;4.216355932;25.449
93;4.163355932;25.45
94;4.109355932;25.449
95;4.101355932;25.45
96;4.092355932;25.451
97;4.118355932;25.45
98;4.127355932;25.451
99;4.216355932;25.452
100;4.269355932;25.454
101;4.358355932;25.453
102;4.358355932;25.453
103;4.420355932;25.451
104;4.473355932;25.451
105;4.526355932;25.451
106;4.508355932;25.449
107;4.482355932;25.449
108;4.464355932;25.45
109;4.464355932;25.45
110;4.526355932;25.451
111;4.615355932;25.451
112;4.730355932;25.45
113;4.810355932;25.453
114;4.872355932;25.45
115;4.889355932;25.449
116;4.863355932;25.449
117;4.836355932;25.449
118;4.810355932;25.45
119;4.872355932;25.451
120;4.925355932;25.452
121;4.960355932;25.452
122;5.022355932;25.452
123;5.067355932;25.453
124;5.102355932;25.453
125;5.164355932;25.452
126;5.182355932;25.452
127;5.226355932;25.45
128;5.208355932;25.451
129;5.270355932;25.45
130;5.324355932;25.452
131;5.350355932;25.452
132;5.403355932;25.452
133;5.457355932;25.451
134;5.430355932;25.449
135;5.412355932;25.451
136;5.439355932;25.449
137;5.448355932;25.451
138;5.465355932;25.452
